文件名,完整路径,所在目录,文件大小(B),文件大小(可读),修改时间
《甘肃省“十四五”能源发展规划》（甘政办发〔2021〕121号）.pdf,/data2/统计包含关键词的文件/final/《甘肃省“十四五”能源发展规划》（甘政办发〔2021〕121号）.pdf,/data2/统计包含关键词的文件/final,1690961,1.61 MB,2025-09-03 12:20:47
DLT 5226-2013 发电厂电力网络计算机监控系统设计技术规程.pdf,/data2/统计包含关键词的文件/final/DLT 5226-2013 发电厂电力网络计算机监控系统设计技术规程.pdf,/data2/统计包含关键词的文件/final,3465220,3.30 MB,2025-11-17 09:59:19
GBT 45055-2024 大型空分装置用透平压缩机.pdf,/data2/统计包含关键词的文件/final/GBT 45055-2024 大型空分装置用透平压缩机.pdf,/data2/统计包含关键词的文件/final,736162,718.91 KB,2025-03-04 12:26:17
华锐SL1500-水冷系统维护作业卡.pdf,/data2/统计包含关键词的文件/final/华锐SL1500-水冷系统维护作业卡.pdf,/data2/统计包含关键词的文件/final,1552863,1.48 MB,2025-08-19 15:06:18
GB 32035-2015_尿素单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final/GB 32035-2015_尿素单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final,387236,378.16 KB,2024-05-30 09:07:44
联合动力UP77-1500风电机组试验和调试报告-08.pdf,/data2/统计包含关键词的文件/final/联合动力UP77-1500风电机组试验和调试报告-08.pdf,/data2/统计包含关键词的文件/final,2700294,2.58 MB,2025-08-19 15:10:48
核电厂再生吸附式氢气干燥器技术条件.pdf,/data2/统计包含关键词的文件/final/核电厂再生吸附式氢气干燥器技术条件.pdf,/data2/统计包含关键词的文件/final,552577,539.63 KB,2025-02-17 18:28:22
GB+12441-2018.pdf,/data2/统计包含关键词的文件/final/GB+12441-2018.pdf,/data2/统计包含关键词的文件/final,1092196,1.04 MB,2025-02-11 19:13:30
QCDT-GYYHPC 1025-2024  通风空调系统运行规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1025-2024  通风空调系统运行规程.pdf,/data2/统计包含关键词的文件/final,768986,750.96 KB,2024-04-23 11:10:30
HJ 76-2017 固定污染源烟气（SO2、NOX、颗粒物）排放连续监测系统技术要求及检测方法.pdf,/data2/统计包含关键词的文件/final/HJ 76-2017 固定污染源烟气（SO2、NOX、颗粒物）排放连续监测系统技术要求及检测方法.pdf,/data2/统计包含关键词的文件/final,954960,932.58 KB,2025-04-10 17:58:46
GB 12664-2024 便携式X射线安全检查设备技术规范.pdf,/data2/统计包含关键词的文件/final/GB 12664-2024 便携式X射线安全检查设备技术规范.pdf,/data2/统计包含关键词的文件/final,1724679,1.64 MB,2025-03-04 10:43:33
维斯塔斯V80-2000-Mk3.Mk4.Mk5-检查变压器和变压器室.pdf,/data2/统计包含关键词的文件/final/维斯塔斯V80-2000-Mk3.Mk4.Mk5-检查变压器和变压器室.pdf,/data2/统计包含关键词的文件/final,4243736,4.05 MB,2025-08-19 15:05:30
QCDT-GYYHPC 1049-2022.ZY02 20kV 及以下电压互感器检修及试验作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1049-2022.ZY02 20kV 及以下电压互感器检修及试验作业指导书.pdf,/data2/统计包含关键词的文件/final,453892,443.25 KB,2022-11-16 17:02:20
【教材】2024建筑施工安全-C.pdf,/data2/统计包含关键词的文件/final/【教材】2024建筑施工安全-C.pdf,/data2/统计包含关键词的文件/final,4882983,4.66 MB,2025-03-13 14:03:17
DLT 5762-2018 梯级水电厂集中监控系统安装及验收规程(OCR).pdf,/data2/统计包含关键词的文件/final/DLT 5762-2018 梯级水电厂集中监控系统安装及验收规程(OCR).pdf,/data2/统计包含关键词的文件/final,3951514,3.77 MB,2025-02-21 10:46:15
核电厂核岛机械设备无损检测  第3部分：射线检测.pdf,/data2/统计包含关键词的文件/final/核电厂核岛机械设备无损检测  第3部分：射线检测.pdf,/data2/统计包含关键词的文件/final,5963805,5.69 MB,2025-02-17 18:53:50
7956_14-2015-gb-cd-300.pdf,/data2/统计包含关键词的文件/final/7956_14-2015-gb-cd-300.pdf,/data2/统计包含关键词的文件/final,555534,542.51 KB,2025-02-11 19:07:54
QCDT-GYYHPC 1098-2022.ZY01 中压压缩空气控制系统检修作业指导书.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1098-2022.ZY01 中压压缩空气控制系统检修作业指导书.pdf,/data2/统计包含关键词的文件/final,550850,537.94 KB,2022-11-15 20:10:50
GB 14866-2023 眼面防护具通用技术规范.pdf,/data2/统计包含关键词的文件/final/GB 14866-2023 眼面防护具通用技术规范.pdf,/data2/统计包含关键词的文件/final,2557810,2.44 MB,2025-03-04 10:44:25
全国造价工程师-建设工程造价案例分析.pdf,/data2/统计包含关键词的文件/final/全国造价工程师-建设工程造价案例分析.pdf,/data2/统计包含关键词的文件/final,7894552,7.53 MB,2025-03-13 14:15:51
核动力厂管理体系安全规定.docx,/data2/统计包含关键词的文件/final/核动力厂管理体系安全规定.docx,/data2/统计包含关键词的文件/final,24014,23.45 KB,2025-11-17 09:15:44
中国大唐集团有限公司燃煤火力发电厂技术监督规程 第2部分：化学技术监督.docx,/data2/统计包含关键词的文件/final/中国大唐集团有限公司燃煤火力发电厂技术监督规程 第2部分：化学技术监督.docx,/data2/统计包含关键词的文件/final,175082,170.98 KB,2024-12-31 12:15:14
GB 4716-2024 点型感温火灾探测器.pdf,/data2/统计包含关键词的文件/final/GB 4716-2024 点型感温火灾探测器.pdf,/data2/统计包含关键词的文件/final,724056,707.09 KB,2025-03-04 10:41:39
2022年注安其他教材.pdf,/data2/统计包含关键词的文件/final/2022年注安其他教材.pdf,/data2/统计包含关键词的文件/final,4659293,4.44 MB,2025-03-17 13:55:32
中华人民共和国民用核设施安全监督管理条例.docx,/data2/统计包含关键词的文件/final/中华人民共和国民用核设施安全监督管理条例.docx,/data2/统计包含关键词的文件/final,23963,23.40 KB,2025-11-17 09:15:13
联合动力UP121-2000-偏航全刹过压故障分析及预防措施.pdf,/data2/统计包含关键词的文件/final/联合动力UP121-2000-偏航全刹过压故障分析及预防措施.pdf,/data2/统计包含关键词的文件/final,11021879,10.51 MB,2025-08-19 15:10:52
金风1.5MW机组现场调试手册（Switch 变流Vensys 变桨Hydac 水冷）.pdf,/data2/统计包含关键词的文件/final/金风1.5MW机组现场调试手册（Switch 变流Vensys 变桨Hydac 水冷）.pdf,/data2/统计包含关键词的文件/final,6219724,5.93 MB,2025-08-19 15:06:24
NB／T 31013—2019 双馈风力发电机技术规范.pdf,/data2/统计包含关键词的文件/final/NB／T 31013—2019 双馈风力发电机技术规范.pdf,/data2/统计包含关键词的文件/final,1179868,1.13 MB,2025-05-14 11:23:22
华锐SL1500机型ABB PLC 大融合程序故障处理手册.pdf,/data2/统计包含关键词的文件/final/华锐SL1500机型ABB PLC 大融合程序故障处理手册.pdf,/data2/统计包含关键词的文件/final,581661,568.03 KB,2025-08-19 15:06:18
Y-LDNSP0600 阳江核电厂5、6号机组技术要求-10.doc,/data2/统计包含关键词的文件/final/Y-LDNSP0600 阳江核电厂5、6号机组技术要求-10.doc,/data2/统计包含关键词的文件/final,1114331,1.06 MB,2025-08-13 15:36:47
GB+22448-2008.pdf,/data2/统计包含关键词的文件/final/GB+22448-2008.pdf,/data2/统计包含关键词的文件/final,581456,567.83 KB,2025-02-11 18:35:25
GYY-EC-2022-#3G-上-01 3号机励磁系统控制部分检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2022-#3G-上-01 3号机励磁系统控制部分检修报告.pdf,/data2/统计包含关键词的文件/final,4036145,3.85 MB,2022-05-27 14:48:42
GB／T 30731—2014 煤炭联合制样系统技术条件.pdf,/data2/统计包含关键词的文件/final/GB／T 30731—2014 煤炭联合制样系统技术条件.pdf,/data2/统计包含关键词的文件/final,700519,684.10 KB,2025-02-18 09:21:25
2023安工《安全法规》集训系统课12（0601）【在线观看】.pdf,/data2/统计包含关键词的文件/final/2023安工《安全法规》集训系统课12（0601）【在线观看】.pdf,/data2/统计包含关键词的文件/final,1506503,1.44 MB,2025-03-17 13:54:41
GBT 20936.3-2017 爆炸性环境用气体探测器 第3部分：固定式气体探测系统功能安全指南.pdf,/data2/统计包含关键词的文件/final/GBT 20936.3-2017 爆炸性环境用气体探测器 第3部分：固定式气体探测系统功能安全指南.pdf,/data2/统计包含关键词的文件/final,4295181,4.10 MB,2025-03-04 11:54:54
SHSG-033-2008 石油化工装置基础工程设计内容规定-标准分享网.pdf,/data2/统计包含关键词的文件/final/SHSG-033-2008 石油化工装置基础工程设计内容规定-标准分享网.pdf,/data2/统计包含关键词的文件/final,845924,826.10 KB,2024-03-28 17:14:36
DLT 1819-2018抽水蓄能电站静止变频装置技术条件(OCR).pdf,/data2/统计包含关键词的文件/final/DLT 1819-2018抽水蓄能电站静止变频装置技术条件(OCR).pdf,/data2/统计包含关键词的文件/final,13911764,13.27 MB,2025-02-21 10:43:23
GBT 27569-2011 氢氟酸生产技术规范.pdf,/data2/统计包含关键词的文件/final/GBT 27569-2011 氢氟酸生产技术规范.pdf,/data2/统计包含关键词的文件/final,345728,337.62 KB,2025-03-04 12:01:29
GB+18111-2021.pdf,/data2/统计包含关键词的文件/final/GB+18111-2021.pdf,/data2/统计包含关键词的文件/final,4230743,4.03 MB,2025-02-11 19:25:18
GYY-EC-2022-#3G-上-15 10KV912DL、932DL保护装置及开关控制回路检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2022-#3G-上-15 10KV912DL、932DL保护装置及开关控制回路检修报告.pdf,/data2/统计包含关键词的文件/final,276384,269.91 KB,2022-04-11 10:34:52
DLT 290-2012 电厂辅机用油运行及维护管理导则.pdf-h.pdf,/data2/统计包含关键词的文件/final/DLT 290-2012 电厂辅机用油运行及维护管理导则.pdf-h.pdf,/data2/统计包含关键词的文件/final,237247,231.69 KB,2025-02-20 18:03:00
应用于核电厂的一级概率安全评价  第3部分：功率运行内部水淹.pdf,/data2/统计包含关键词的文件/final/应用于核电厂的一级概率安全评价  第3部分：功率运行内部水淹.pdf,/data2/统计包含关键词的文件/final,3352913,3.20 MB,2025-02-17 18:41:35
GBT 25936.4-2024 橡胶塑料粉碎机械 第4部分团粒机安全要求.pdf,/data2/统计包含关键词的文件/final/GBT 25936.4-2024 橡胶塑料粉碎机械 第4部分团粒机安全要求.pdf,/data2/统计包含关键词的文件/final,543965,531.22 KB,2025-03-04 11:59:39
核电厂蒸汽发生器传热管胀管过渡段涡流检测.pdf,/data2/统计包含关键词的文件/final/核电厂蒸汽发生器传热管胀管过渡段涡流检测.pdf,/data2/统计包含关键词的文件/final,1420081,1.35 MB,2025-02-17 19:07:22
一造安装计量5年真题（2018-2022）.pdf,/data2/统计包含关键词的文件/final/一造安装计量5年真题（2018-2022）.pdf,/data2/统计包含关键词的文件/final,4876940,4.65 MB,2025-03-13 14:12:34
4号主变高压侧分支试验记录表2022.docx,/data2/统计包含关键词的文件/final/4号主变高压侧分支试验记录表2022.docx,/data2/统计包含关键词的文件/final,105952,103.47 KB,2022-03-29 14:53:10
DTSDY／SY-HB-016-2020 大唐观音岩水电开发有限公司2020年环保检测技术报告.pdf,/data2/统计包含关键词的文件/final/DTSDY／SY-HB-016-2020 大唐观音岩水电开发有限公司2020年环保检测技术报告.pdf,/data2/统计包含关键词的文件/final,1254712,1.20 MB,2020-08-10 10:05:28
GB 29138-2012_磷酸一铵单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final/GB 29138-2012_磷酸一铵单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final,392731,383.53 KB,2024-05-30 09:07:17
GB_T 12790-2008_核电厂安全级电气设备和系统文件标识方法.pdf,/data2/统计包含关键词的文件/final/GB_T 12790-2008_核电厂安全级电气设备和系统文件标识方法.pdf,/data2/统计包含关键词的文件/final,1031925,1007.74 KB,2024-05-28 14:16:09
金风1.5MW风电机组产品说明书（GW77-1500）.pdf,/data2/统计包含关键词的文件/final/金风1.5MW风电机组产品说明书（GW77-1500）.pdf,/data2/统计包含关键词的文件/final,1618882,1.54 MB,2025-08-19 15:06:24
核电厂安全重要仪表和控制系统隔离装置的设计和鉴定.pdf,/data2/统计包含关键词的文件/final/核电厂安全重要仪表和控制系统隔离装置的设计和鉴定.pdf,/data2/统计包含关键词的文件/final,2292767,2.19 MB,2025-02-17 19:00:24
GYY-EC-2024-#2G-上-02+2号机计算机监控系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2024-#2G-上-02+2号机计算机监控系统检修报告.pdf,/data2/统计包含关键词的文件/final,433555,423.39 KB,2024-04-22 10:31:44
远景能源EN2650-圣克赛斯液压站使用说明书（中英文）.pdf,/data2/统计包含关键词的文件/final/远景能源EN2650-圣克赛斯液压站使用说明书（中英文）.pdf,/data2/统计包含关键词的文件/final,704980,688.46 KB,2025-08-19 15:06:40
03 ZFL-D250 调速器机柜说明书.docx,/data2/统计包含关键词的文件/final/03 ZFL-D250 调速器机柜说明书.docx,/data2/统计包含关键词的文件/final,359603,351.17 KB,2015-08-29 15:17:50
2010监理工程师《案例分析》真题及答案（完整版）.pdf,/data2/统计包含关键词的文件/final/2010监理工程师《案例分析》真题及答案（完整版）.pdf,/data2/统计包含关键词的文件/final,1420033,1.35 MB,2025-03-13 14:45:37
GB 15146.8-2008_反应堆外易裂变材料的核临界安全第8部分：堆外操作、贮存、运输轻水堆燃料的核临界安全准则.pdf,/data2/统计包含关键词的文件/final/GB 15146.8-2008_反应堆外易裂变材料的核临界安全第8部分：堆外操作、贮存、运输轻水堆燃料的核临界安全准则.pdf,/data2/统计包含关键词的文件/final,570700,557.32 KB,2024-05-28 14:14:42
GB_T 17680.2-1999_核电厂应急计划与准备准则场外应急职能与组织.pdf,/data2/统计包含关键词的文件/final/GB_T 17680.2-1999_核电厂应急计划与准备准则场外应急职能与组织.pdf,/data2/统计包含关键词的文件/final,1830569,1.75 MB,2024-05-28 14:17:55
金风1.5MW机舱柜I型-高海拔-93叶片电气原理图.pdf,/data2/统计包含关键词的文件/final/金风1.5MW机舱柜I型-高海拔-93叶片电气原理图.pdf,/data2/统计包含关键词的文件/final,794357,775.74 KB,2025-08-19 15:04:56
建设项目环境保护管理条例  (2017年修订）.pdf,/data2/统计包含关键词的文件/final/建设项目环境保护管理条例  (2017年修订）.pdf,/data2/统计包含关键词的文件/final,138693,135.44 KB,2025-04-10 17:59:05
GB_T 17680.3-1999_核电厂应急计划与准备准则场外应急设施功能与特性.pdf,/data2/统计包含关键词的文件/final/GB_T 17680.3-1999_核电厂应急计划与准备准则场外应急设施功能与特性.pdf,/data2/统计包含关键词的文件/final,2234932,2.13 MB,2024-05-28 14:18:00
2023年1月31日中级法规第一轮第四讲.pdf,/data2/统计包含关键词的文件/final/2023年1月31日中级法规第一轮第四讲.pdf,/data2/统计包含关键词的文件/final,4968117,4.74 MB,2025-03-17 13:54:27
GB 5908-2024 阻火器.pdf,/data2/统计包含关键词的文件/final/GB 5908-2024 阻火器.pdf,/data2/统计包含关键词的文件/final,710566,693.91 KB,2025-03-04 10:41:55
远景能源EN2200-世万保液压站使用维护说明书（中文版）.pdf,/data2/统计包含关键词的文件/final/远景能源EN2200-世万保液压站使用维护说明书（中文版）.pdf,/data2/统计包含关键词的文件/final,880652,860.01 KB,2025-08-19 15:06:40
Y-LDNSP0400 阳江核电厂1、2号机组技术要求-10.doc,/data2/统计包含关键词的文件/final/Y-LDNSP0400 阳江核电厂1、2号机组技术要求-10.doc,/data2/统计包含关键词的文件/final,1107484,1.06 MB,2025-08-13 15:36:33
2023安工《安全法规》集训系统课03（0309）【在线观看】.pdf,/data2/统计包含关键词的文件/final/2023安工《安全法规》集训系统课03（0309）【在线观看】.pdf,/data2/统计包含关键词的文件/final,912150,890.77 KB,2025-03-17 13:54:54
压水堆核电厂用合金钢  第11部分：稳压器筒体、封头用锰-镍-钼钢锻件.pdf,/data2/统计包含关键词的文件/final/压水堆核电厂用合金钢  第11部分：稳压器筒体、封头用锰-镍-钼钢锻件.pdf,/data2/统计包含关键词的文件/final,2660496,2.54 MB,2025-02-17 18:58:28
2020一造《计量（安装）》参考答案(比较完整版）.pdf,/data2/统计包含关键词的文件/final/2020一造《计量（安装）》参考答案(比较完整版）.pdf,/data2/统计包含关键词的文件/final,1109692,1.06 MB,2025-03-13 14:44:08
QCDT-GYYHPC 1119-2023.ZY14 顶盖及导水机构检修作业指导书.docx,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1119-2023.ZY14 顶盖及导水机构检修作业指导书.docx,/data2/统计包含关键词的文件/final,73616,71.89 KB,2024-01-30 15:36:30
华锐SL77-1500-现场调试报告.pdf,/data2/统计包含关键词的文件/final/华锐SL77-1500-现场调试报告.pdf,/data2/统计包含关键词的文件/final,4109798,3.92 MB,2025-08-19 15:10:40
JJF 1637-2017 廉金属热电偶校准规范.pdf,/data2/统计包含关键词的文件/final/JJF 1637-2017 廉金属热电偶校准规范.pdf,/data2/统计包含关键词的文件/final,421738,411.85 KB,2025-04-10 18:09:46
远景能源EN1500-风力发电机组全年检维护记录.pdf,/data2/统计包含关键词的文件/final/远景能源EN1500-风力发电机组全年检维护记录.pdf,/data2/统计包含关键词的文件/final,367595,358.98 KB,2025-08-19 15:06:22
ZL_WKZZ2103.0707 RCS-993B型失步解列装置技术和使用说明书.pdf,/data2/统计包含关键词的文件/final/ZL_WKZZ2103.0707 RCS-993B型失步解列装置技术和使用说明书.pdf,/data2/统计包含关键词的文件/final,666114,650.50 KB,2014-05-15 12:41:16
QCDT-GYYHPC 1061-2022 500kV断路器失灵保护及自动重合闸装置检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1061-2022 500kV断路器失灵保护及自动重合闸装置检修规程.pdf,/data2/统计包含关键词的文件/final,388012,378.92 KB,2022-11-15 19:18:48
GBZ 44564-2024 安全仪表系统  过程分析技术系统.pdf,/data2/统计包含关键词的文件/final/GBZ 44564-2024 安全仪表系统  过程分析技术系统.pdf,/data2/统计包含关键词的文件/final,713552,696.83 KB,2025-03-04 12:42:42
DLT 619-2012 水电厂自动化元件(装置)及其系统运行维护与检修试验规程(OCR).pdf,/data2/统计包含关键词的文件/final/DLT 619-2012 水电厂自动化元件(装置)及其系统运行维护与检修试验规程(OCR).pdf,/data2/统计包含关键词的文件/final,2777954,2.65 MB,2025-02-21 10:41:49
2022注安法规《章节练习—全真题版》答案.pdf,/data2/统计包含关键词的文件/final/2022注安法规《章节练习—全真题版》答案.pdf,/data2/统计包含关键词的文件/final,17899537,17.07 MB,2025-03-17 13:55:28
NB_T 31012-2019 永磁风力发电机技术规范.pdf,/data2/统计包含关键词的文件/final/NB_T 31012-2019 永磁风力发电机技术规范.pdf,/data2/统计包含关键词的文件/final,1313413,1.25 MB,2025-09-03 12:10:37
HJ 2019-2012 钢铁工业废水治理及回用工程技术规范（发布稿）.pdf,/data2/统计包含关键词的文件/final/HJ 2019-2012 钢铁工业废水治理及回用工程技术规范（发布稿）.pdf,/data2/统计包含关键词的文件/final,242973,237.28 KB,2025-02-28 16:08:06
观音岩转子安装说明书.pdf,/data2/统计包含关键词的文件/final/观音岩转子安装说明书.pdf,/data2/统计包含关键词的文件/final,1918677,1.83 MB,2014-03-27 17:11:00
中国安全生产大数据平台-知识库98.pdf,/data2/统计包含关键词的文件/final/中国安全生产大数据平台-知识库98.pdf,/data2/统计包含关键词的文件/final,1803482,1.72 MB,2025-03-10 14:22:05
GB 29436.4-2015_甲醇单位产品能源消耗限额第4部分：焦炉煤气制甲醇.pdf,/data2/统计包含关键词的文件/final/GB 29436.4-2015_甲醇单位产品能源消耗限额第4部分：焦炉煤气制甲醇.pdf,/data2/统计包含关键词的文件/final,421019,411.15 KB,2024-05-30 09:07:21
HJ_589-2021 突发环境事件应急监测技术规范.pdf,/data2/统计包含关键词的文件/final/HJ_589-2021 突发环境事件应急监测技术规范.pdf,/data2/统计包含关键词的文件/final,3103122,2.96 MB,2025-02-21 11:20:51
核电工程项目节能评价方法和参数.pdf,/data2/统计包含关键词的文件/final/核电工程项目节能评价方法和参数.pdf,/data2/统计包含关键词的文件/final,1761172,1.68 MB,2025-02-17 18:33:49
JGJ80-2016施工高处作业安全技术规范.pdf,/data2/统计包含关键词的文件/final/JGJ80-2016施工高处作业安全技术规范.pdf,/data2/统计包含关键词的文件/final,2065249,1.97 MB,2025-03-13 14:23:45
GBT 28545-2012 水轮机、蓄能泵和水泵水轮机更新改造和性能改善导则(OCR).pdf,/data2/统计包含关键词的文件/final/GBT 28545-2012 水轮机、蓄能泵和水泵水轮机更新改造和性能改善导则(OCR).pdf,/data2/统计包含关键词的文件/final,15259397,14.55 MB,2025-02-18 09:58:08
GBT 38588-2020 城镇供热保温管网系统散热损失现场检测方法.pdf,/data2/统计包含关键词的文件/final/GBT 38588-2020 城镇供热保温管网系统散热损失现场检测方法.pdf,/data2/统计包含关键词的文件/final,1881873,1.79 MB,2025-11-13 16:47:01
TSG R0010-2019 热交换器能效测试与评价规则.pdf,/data2/统计包含关键词的文件/final/TSG R0010-2019 热交换器能效测试与评价规则.pdf,/data2/统计包含关键词的文件/final,698239,681.87 KB,2025-02-27 15:52:05
GB+10408.6-2009.pdf,/data2/统计包含关键词的文件/final/GB+10408.6-2009.pdf,/data2/统计包含关键词的文件/final,1097755,1.05 MB,2025-02-11 18:42:48
《中华人民共和国能源法》.pdf,/data2/统计包含关键词的文件/final/《中华人民共和国能源法》.pdf,/data2/统计包含关键词的文件/final,167724,163.79 KB,2025-09-03 12:20:05
DLT 1803-2018 水电厂辅助设备控制装置技术条件(OCR).pdf,/data2/统计包含关键词的文件/final/DLT 1803-2018 水电厂辅助设备控制装置技术条件(OCR).pdf,/data2/统计包含关键词的文件/final,1058070,1.01 MB,2025-02-21 10:42:58
GB+30122-2013.pdf,/data2/统计包含关键词的文件/final/GB+30122-2013.pdf,/data2/统计包含关键词的文件/final,517442,505.31 KB,2025-02-11 19:01:13
NBT 35021-2014 水电站调压室设计规范(OCR).pdf,/data2/统计包含关键词的文件/final/NBT 35021-2014 水电站调压室设计规范(OCR).pdf,/data2/统计包含关键词的文件/final,17282314,16.48 MB,2025-02-21 11:35:04
华锐SL1500-故障及描述清单.pdf,/data2/统计包含关键词的文件/final/华锐SL1500-故障及描述清单.pdf,/data2/统计包含关键词的文件/final,173079,169.02 KB,2025-08-19 15:06:18
汇川is300电液伺服系统解决方案.pdf,/data2/统计包含关键词的文件/final/汇川is300电液伺服系统解决方案.pdf,/data2/统计包含关键词的文件/final,2908345,2.77 MB,2024-03-28 18:01:24
中华人民共和国消防法.docx,/data2/统计包含关键词的文件/final/中华人民共和国消防法.docx,/data2/统计包含关键词的文件/final,30521,29.81 KB,2025-11-17 09:15:02
JTT 1200-2018 浮式储存气化装置安全作业要求.pdf,/data2/统计包含关键词的文件/final/JTT 1200-2018 浮式储存气化装置安全作业要求.pdf,/data2/统计包含关键词的文件/final,2175130,2.07 MB,2025-02-28 16:00:06
NBT 10792-2021 水电站技术供水系统规范(OCR).pdf,/data2/统计包含关键词的文件/final/NBT 10792-2021 水电站技术供水系统规范(OCR).pdf,/data2/统计包含关键词的文件/final,3946411,3.76 MB,2025-02-21 11:30:44
金风1.5MW风电机组机舱调试手册.pdf,/data2/统计包含关键词的文件/final/金风1.5MW风电机组机舱调试手册.pdf,/data2/统计包含关键词的文件/final,221609,216.42 KB,2025-08-19 15:06:24
GB51018-2014水土保持工程设计规范085eef95940c70a3.pdf,/data2/统计包含关键词的文件/final/GB51018-2014水土保持工程设计规范085eef95940c70a3.pdf,/data2/统计包含关键词的文件/final,23068876,22.00 MB,2025-09-03 12:06:43
GB+15600-2008.pdf,/data2/统计包含关键词的文件/final/GB+15600-2008.pdf,/data2/统计包含关键词的文件/final,998017,974.63 KB,2025-02-11 18:36:18
大唐观音岩设〔2023〕184号  附件1.大唐观音岩水电开发有限公司2023年5号水轮发电机组检修基于RCM策划管理手册 .docx,/data2/统计包含关键词的文件/final/大唐观音岩设〔2023〕184号  附件1.大唐观音岩水电开发有限公司2023年5号水轮发电机组检修基于RCM策划管理手册 .docx,/data2/统计包含关键词的文件/final,2506114,2.39 MB,2023-10-31 11:32:44
GYY-EC-2021-#5G-下-06 5号机水轮机辅助控制系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2021-#5G-下-06 5号机水轮机辅助控制系统检修报告.pdf,/data2/统计包含关键词的文件/final,264509,258.31 KB,2021-12-21 14:31:46
DL 5190.4—2019 电力建设施工技术规范第4部分：热工仪表及控制装置.pdf,/data2/统计包含关键词的文件/final/DL 5190.4—2019 电力建设施工技术规范第4部分：热工仪表及控制装置.pdf,/data2/统计包含关键词的文件/final,23251236,22.17 MB,2025-05-29 16:40:57
压水堆核电厂用合金钢  第2部分：不承受强辐照的反应堆压力容器筒体用锰-镍-钼钢锻件.pdf,/data2/统计包含关键词的文件/final/压水堆核电厂用合金钢  第2部分：不承受强辐照的反应堆压力容器筒体用锰-镍-钼钢锻件.pdf,/data2/统计包含关键词的文件/final,2522226,2.41 MB,2025-02-17 18:45:56
3号发电机保护装置检修报告.pdf,/data2/统计包含关键词的文件/final/3号发电机保护装置检修报告.pdf,/data2/统计包含关键词的文件/final,338807,330.87 KB,2024-02-29 14:36:04
pdf_parse_issues.csv,/data2/统计包含关键词的文件/final/pdf_parse_issues.csv,/data2/统计包含关键词的文件/final,51,51.00 B,2026-03-19 18:15:35
JJG (机械)19-1990 热电偶检定用管形炉检定规程.pdf,/data2/统计包含关键词的文件/final/JJG (机械)19-1990 热电偶检定用管形炉检定规程.pdf,/data2/统计包含关键词的文件/final,203941,199.16 KB,2025-04-10 18:09:46
观音岩公司5号发电机电气一次有限空间作业四措两案.docx,/data2/统计包含关键词的文件/final/观音岩公司5号发电机电气一次有限空间作业四措两案.docx,/data2/统计包含关键词的文件/final,89243,87.15 KB,2023-10-10 15:25:10
远景能源EN1500-风机定检维护作业指导书.pdf,/data2/统计包含关键词的文件/final/远景能源EN1500-风机定检维护作业指导书.pdf,/data2/统计包含关键词的文件/final,425182,415.22 KB,2025-08-19 15:06:22
GBT 17215.701-2011 标准电能表.pdf,/data2/统计包含关键词的文件/final/GBT 17215.701-2011 标准电能表.pdf,/data2/统计包含关键词的文件/final,641119,626.09 KB,2025-11-17 09:56:41
金风1.5MW风电机组故障解释说明手册(Freqcon主控).2版.pdf,/data2/统计包含关键词的文件/final/金风1.5MW风电机组故障解释说明手册(Freqcon主控).2版.pdf,/data2/统计包含关键词的文件/final,344352,336.28 KB,2025-08-19 15:06:24
QCDT-GYYHPC 1087-2022 电测仪表检修规程.docx,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1087-2022 电测仪表检修规程.docx,/data2/统计包含关键词的文件/final,54576,53.30 KB,2025-01-02 15:32:12
2023安工《安全法规》集训系统课03（0309）【下载打印】.pdf,/data2/统计包含关键词的文件/final/2023安工《安全法规》集训系统课03（0309）【下载打印】.pdf,/data2/统计包含关键词的文件/final,145251,141.85 KB,2025-03-17 13:54:54
QCDT-GYYHPC 1093-2022 厂房防洪排水控制系统检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1093-2022 厂房防洪排水控制系统检修规程.pdf,/data2/统计包含关键词的文件/final,420090,410.24 KB,2022-11-15 20:00:12
GYY-EC-2023-#2G-下-03+2号机调速器电气控制系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2023-#2G-下-03+2号机调速器电气控制系统检修报告.pdf,/data2/统计包含关键词的文件/final,306288,299.11 KB,2023-06-17 00:00:00
